Phone Name,Condition,Price,Shipping Cost,Location,Seller Info,Quantity Sold
New Apple iPhone 13 Pro A2483 128GB Factory Unlocked All Mobile Carriers Colors,Brand New,$603.99,+$43.95 shipping,from United States,"mistyelectronics (132,792) 99.3%",Quantity sold not found
Apple iPhone 12 Pro - 256GB (A2341) Factory Unlocked - OPEN BOX,Open Box,$380.00 to $385.00,+$37.79 shipping,from United States,"creo_cellular (32,553) 96.5%",Quantity sold not found
Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,$494.95,+$41.18 shipping,from United States,"supplytronics (109,827) 98.4%",159+ sold
"Apple iPhone 12 5G 64GB 6.1"" Factory Unlocked Smartphone Good",Good - Refurbished,$248.99,+$33.92 shipping,from United States,"qualitycellz (161,117) 100%",70+ sold
Apple iPhone 15 Plus 128GB Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,$629.95,+$45.16 shipping,from United States,"supplytronics (109,827) 98.4%",177+ sold
Apple iPhone 8 64GB 256GB Unlocked Smartphone,Very Good - Refurbished,$124.52 to $157.29,+$53.26 shipping estimate,from United Kingdom,"best21buy (8,720) 99.6%",Quantity sold not found
Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,Excellent - Refurbished,$874.99,+$52.39 shipping,from United States,"amazing-wireless (141,985) 99.4%",310+ sold
Apple iPhone 15 Pro 128GB Unlocked Smartphone - Excellent,Excellent - Refurbished,$754.95,+$48.41 shipping,from United States,"bidallies (350,337) 98.4%",21+ sold
Apple iPhone 14 Pro - 128GB - Factory Unlocked - Excellent Condition,Excellent - Refurbished,$669.99,+$46.34 shipping,from United States,"electro-wireless (30,330) 97%",Quantity sold not found
Apple iPhone 15 128GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,Very Good - Refurbished,$594.95,+$44.13 shipping,from United States,"supplytronics (109,827) 98.4%",225+ sold
New Apple iPhone SE 3rd Gen 5G Unlocked Any Carrier Worldwide 64GB/128GB/256GB,Open Box,$239.99,+$33.66 shipping,from United States,"innovee.tech (21,601) 98.6%",271+ sold
Apple iPhone 15 A2846 T-Mobile Only 128GB Pink Good,Good - Refurbished,$444.99,+$39.26 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
New Apple iPhone 13 A2482 512GB Factory Unlocked All Mobile Carriers All Colors,Brand New,$553.99,+$42.48 shipping,from United States,"mistyelectronics (132,792) 99.3%",Quantity sold not found
Apple iPhone 12 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,$319.95,+$36.02 shipping,from United States,"supplytronics (109,827) 98.4%",290+ sold
"Apple iPhone 5s Silver, Gold & Black Box- 150 Pieces Sold as a Lot",Open Box,$249.00,+$256.74 shipping,from United States,"ah11sales (4,524) 99%",Quantity sold not found
Apple iPhone 14 Pro 128GB Unlocked Very Good Condition - All Colors,Very Good - Refurbished,$589.99 to $604.99,+$43.83 shipping,from United States,"itsworthmore (83,680) 98.7%",Quantity sold not found
Apple iPhone 12 - 64GB 128GB 256GB - All Colors - Excellent Condition,Excellent - Refurbished,$249.00 to $339.00,+$36.13 shipping,from United States,"buybackboss (17,819) 98.8%",13+ sold
Apple iPhone 13 128GB 256GB 512GB - Unlocked - All Colours - EXCELLENT CONDITION,Excellent - Refurbished,$471.91,+$64.11 shipping estimate,from United Kingdom,"mobilecrazylimited (8,591) 98.6%",18+ sold
Apple iPhone 15 128GB ( Unlocked) US E-Sim Version. Excellent,Excellent - Refurbished,$589.99,+$43.98 shipping,from United States,"amazing-wireless (141,985) 99.4%",119+ sold
Apple iPhone 11 Pro 64GB 256GB 512GB Unlocked All Colours Certified Refurbished,Certified - Refurbished,$304.12,+$58.32 shipping estimate,from United Kingdom,"loop_mobile (25,171) 99%",Quantity sold not found
APPLE IPHONE 15 - 128GB 256GB (FACTORY UNLOCKED) ✅1 YR WARRANTY✅ COLORS❖SEALED❖,Brand New,$699.95,+$47.23 shipping,from United States,"santamonicawireless (32,072) 98.9%",Quantity sold not found
New 2024 Apple - iPhone 16 6.1-inch A3081 USA eSIM Unlocked,Brand New,"$999.99 to $1,349.99",+$79.22 shipping,from United States,"shashanksaxena92 (3,017) 99.8%",Quantity sold not found
Apple iPhone 12 64GB 128GB Unlocked Bundle with MagSafe - All Colors - Excellent,Open Box,$289.99 to $349.99,+$35.13 shipping,from United States,"creo_cellular (32,553) 96.5%",169+ sold
Apple iPhone 15 A2846 T-Mobile Only 128GB Blue Good,Good - Refurbished,$455.00,+$39.56 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Factory Sealed Apple iPhone 4S - 8 GB - White (Unlocked),Brand New,$280.00,+$34.84 shipping,from United States,shopshipreceive (518) 95.2%,Quantity sold not found
New Sealed Apple iPhone 11 64GB Black (Unlocked) For Any Carrier Worldwide,Brand New,$298.88,+$34.95 shipping,from United States,"innovee.tech (21,601) 98.6%",69 sold
Brand New Sealed Apple iPhone 14 128GB Midnight AT&T Cricket,Brand New,$475.00,+$40.15 shipping,from United States,"samcomputerusa (6,332) 98.2%",28 sold
Apple iPhone XR 64GB Black Smartphone(GSM Unlocked) A1984 NEW OTHER SEALED BOX,Open Box,$198.55,+$32.43 shipping,from United States,"extremediscountla (18,174) 98.8%",14 sold
Apple iPhone 13 - 128GB  - Midnight (T-Mobile) - New Sealed,Brand New,$384.95,+$37.93 shipping,from United States,"wikiwoo (40,369) 98.7%",Quantity sold not found
Apple iPhone 13 128GB 256GB 512GB - Unlocked - All Colours - VERY GOOD CONDITION,Very Good - Refurbished,$432.58 to $471.91,+$64.11 shipping estimate,from United Kingdom,"mobilecrazylimited (8,591) 98.6%",Quantity sold not found
Apple iPhone 12 | 12 mini 64GB | 128GB | 256GB (Unlocked AT&T Verizon T-Mobile),Open Box,$199.95 to $299.95,+$25.39 shipping,from United States,"uki-mobile (3,327) 99.2%",Quantity sold not found
New ListingApple iPhone 15 Pro 256GB Blue Titanium (Unlocked). Excellent condition Boxed,Pre-Owned,$884.82,+$100.45 shipping estimate,from United Kingdom,"elizbull (1,844) 100%",Quantity sold not found
Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,$269.95,+$34.54 shipping,from United States,"supplytronics (109,827) 98.4%",843+ sold
Apple iPhone 13 - 128GB 256GB 512GB - All Colors - Good Condition,Good - Refurbished,$317.00 to $445.00,+$35.49 shipping,from United States,"buybackboss (17,819) 98.8%",Quantity sold not found
Apple iPhone 14 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,Very Good - Refurbished,$594.95,+$44.13 shipping,from United States,"supplytronics (109,827) 98.4%",118+ sold
Apple iPhone 12 Pro Max - 128 GB - Blue (Unlocked) NEW,Open Box,$599.00,+$62.55 shipping,from United States,"nune_mayt (1,143) 100%",Quantity sold not found
Apple iPhone X 64GB 256GB Factory Unlocked SmartPhone AT&T T-mobile Verizon,Open Box,$168.99 to $183.99,+$31.12 shipping,from United States,"sami809 (256,490) 97.9%",330+ sold
Apple iPhone 15 Pro Max A2849 T-Mobile Only 256GB Blue Titanium Good,Good - Refurbished,$700.00,+$46.78 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
"Apple iPhone Se 2nd Gen 64GB-128GB-256GB - 4.7"" - Fully Unlocked -Very Good",Very Good - Refurbished,$169.00,+$31.12 shipping,from United States,"guaranteecellular (165,899) 99.9%",Quantity sold not found
New ListingNEW sealed Unlocked Apple iPhone 12 64GB Black,Brand New,$349.99,+$36.90 shipping,from United States,ttimports (172) 96.9%,Quantity sold not found
New ListingApple iPhone 11 - 128GB - Black (Unlocked),Pre-Owned,$217.59,+$59.79 shipping estimate,from United Kingdom,jackelandhyde2010k (849) 100%,Quantity sold not found
Apple iPhone 14 | 14 Plus 128GB | 256GB | 512GB (Unlocked) Smartphone Excellent,Excellent - Refurbished,$459.95 to $519.95,+$41.62 shipping,from United States,"uki-mobile (3,327) 99.2%",Quantity sold not found
Apple iPhone 13 128GB | 256GB (Unlocked) AT&T Verizon T-Mobile Metro - Excellent,Excellent - Refurbished,$379.95 to $399.95,+$30.11 shipping,from United States,"ideal-mobile (4,790) 99.4%",Quantity sold not found
Apple iPhone 12 64GB Factory Unlocked AT&T T-Mobile Verizon Good Condition,Good - Refurbished,$249.95,+$33.95 shipping,from United States,"supplytronics (109,827) 98.4%",139+ sold
Apple iPhone 14 128GB Factory GSM+CDMA Unlocked A2649 Midnight - Excellent,Open Box,$455.94,+$39.58 shipping,from United States,"tech-stuff-and-more (1,850) 98.4%",Quantity sold not found
Apple iPhone 14 Plus - 128GB - FACTORY UNLOCKED - EXCELLENT CONDITION!,Excellent - Refurbished,$499.99,+$33.06 shipping,from United States,"pocketaces_deals (3,953) 100%",15+ sold
New ListingiPhone 7se,Pre-Owned,$6.54,+$67.08 shipping estimate,from United Kingdom,"lesleyw59 (3,627) 100%",Quantity sold not found
Apple iPhone 14 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,$459.95,+$40.15 shipping,from United States,"supplytronics (109,827) 98.4%",264+ sold
Apple iPhone 12 - 64GB 128GB 256GB - Factory Unlocked - All Colors - Very Good,Very Good - Refurbished,$319.85,+$35.57 shipping,from United States,"eazytrade84 (99,310) 98.8%",55+ sold
Apple iPhone 15 Pro - 128GB 256GB 512GB 1TB - All Colors - Excellent Condition,Excellent - Refurbished,"$799.00 to $1,039.00",+$51.53 shipping,from United States,"buybackboss (17,819) 98.8%",Quantity sold not found
Apple iPhone 15 Plus 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,Very Good - Refurbished,$619.95,+$44.87 shipping,from United States,"supplytronics (109,827) 98.4%",120+ sold
Apple iPhone 15 Pro 1TB ( Unlocked) US E-Sim Version. Excellent,Excellent - Refurbished,$989.99,+$55.34 shipping,from United States,"amazing-wireless (141,985) 99.4%",94+ sold
Apple iPhone 15 Pro Max A2849 Spectrum Only 256GB Natural Titanium Very Good,Very Good - Refurbished,$699.99,+$46.78 shipping,from United States,"yywirelesss (143,054) 97.7%",Quantity sold not found
Apple iPhone Lot,Parts Only,"$1,000.00",+$65.00 shipping,from United States,mmhfco (457) 99%,Quantity sold not found
Apple iPhone 15 Pro Max 256GB Unlocked Excellent Condition - All Colors,Excellent - Refurbished,$919.99,+$53.27 shipping,from United States,"itsworthmore (83,680) 98.7%",78+ sold
Apple iPhone 12 Mini - 64GB - Fully Unlocked- ALL CARRIERS - VERY GOOD Condition,Very Good - Refurbished,$202.99,+$32.12 shipping,from United States,"gadget-solutions (4,245) 97.8%",21+ sold
Apple iPhone 13 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,Very Good - Refurbished,$474.95,+$40.59 shipping,from United States,"supplytronics (109,827) 98.4%",642+ sold
Apple iPhone 15 Pro 128GB Unlocked AT&T T-Mobile Verizon Very Good Condition,Very Good - Refurbished,$714.95,+$47.67 shipping,from United States,"supplytronics (109,827) 98.4%",89+ sold
Apple iPhone 15 256GB 128GB Factory Unlocked A2846 All Colors - Excellent In-Box,Open Box,$639.95 to $699.95,+$47.23 shipping,from United States,"txcellular (4,228) 98.1%",Quantity sold not found
Apple iPhone 13 Pro - 128GB 256GB 512GB 1TB - All Colors - Excellent Condition,Excellent - Refurbished,$560.00 to $562.00,+$42.71 shipping,from United States,"buybackboss (17,819) 98.8%",25+ sold
Apple iPhone 13 128GB Factory Unlocked AT&T T-Mobile Verizon Excellent Condition,Excellent - Refurbished,$394.95,+$38.23 shipping,from United States,"supplytronics (109,827) 98.4%",217+ sold
Apple iPhone XR - 64GB - Fully Unlocked ALL Carriers- VERY GOOD Condition,Very Good - Refurbished,$161.99,+$30.91 shipping,from United States,"gadget-solutions (4,245) 97.8%",765+ sold
"Apple iPhone 14 Unlocked - 128GB Red, Excellent Condition 10/10, E-Sim",New (Other),$583.43,Shipping not specified,from Canada,pcrefresh830 (34) 94.7%,Quantity sold not found
New ListingApple iPhone 15 Plus - 128GB - Blue (Unlocked),Pre-Owned,$702.33,+$83.91 shipping estimate,from United Kingdom,tilleystacey (596) 100%,Quantity sold not found
New Boxed Apple iPhone 7 32GB 128GB Silver Unlocked Smartphone Grade A+++,New (Other),$91.75,+$50.99 shipping estimate,from United Kingdom,"ontel2019 (12,327) 97.8%","1,323+ sold"
Apple iPhone 13 128GB 5G Midnight (AT&T Cricket H2O) Smartphone NEW OTHER SEALED,Open Box,$377.88,+$37.72 shipping,from United States,"extremediscountla (18,174) 98.8%",50 sold
Apple iPhone 13 - 128GB | 256GB - (Unlocked) AT&T Verizon T-Mobile Metro Cricket,Open Box,$329.95 to $419.95,+$140.06 shipping,from United States,"ideal-mobile (4,790) 99.4%",Quantity sold not found
Apple iPhone 13 Unlocked – All Sizes – All Colours – Good Condition Mobile,Good - Refurbished,$419.47 to $485.01,+$62.30 shipping estimate,from United Kingdom,techtigeruk (377) 99.3%,15+ sold
New Sealed Apple iPhone 11 - 64GB - Black (Unlocked) Black + Extras,Brand New,$309.99,+$35.72 shipping,from United States,"pewpew88 (1,132) 98.9%",Quantity sold not found
"Apple iPhone 15 Plus At&t 128GB - 6.7"" - Excellent",Excellent - Refurbished,$639.00,+$44.98 shipping,from United States,"guaranteecellular (165,899) 99.9%",Quantity sold not found
Apple iPhone x 64GB Fully Unlocked (GSM-CDMA) Gray Very  Good Condition 09/10,Open Box,$149.00,+$30.97 shipping,from United States,offmatrix (151) 95.1%,Quantity sold not found
Apple iPhone 12 64gb 5G BLACK Smartphone (AT&T & Unlocked GSM) Box EXCELLENT,Excellent - Refurbished,$275.88,+$34.72 shipping,from United States,"extremediscountla (18,174) 98.8%",Quantity sold not found
NEW iPhone 2G 8GB SHOWPIECE Collector RARE Apple NEW in Film Rarity,Brand New,"$3,657.98",+$66.00 shipping,from Germany,"world24trade (7,992) 99.6%",Quantity sold not found
Apple iPhone 13 - 128GB | 256GB - (Unlocked) AT&T Verizon T-Mobile Cricket Metro,Very Good - Refurbished,$359.95 to $419.95,+$28.93 shipping,from United States,"uki-mobile (3,327) 99.2%",Quantity sold not found
New Apple iPhone 13 Mini 128GB A2481 Black Factory Unlocked for All Carriers,Brand New,$469.99,+$40.00 shipping,from United States,"mistyelectronics (132,792) 99.3%",Quantity sold not found
Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version Good,Good - Refurbished,$799.99,+$50.18 shipping,from United States,"amazing-wireless (141,985) 99.4%",19+ sold
New ListingApple iPhone 16 Pro Max Smartphone - 256GB Desert Titanium,Brand New,"$1,702.79",+$111.23 shipping estimate,from United Kingdom,jaws_1982 (731) 100%,Quantity sold not found
Apple iPhone 12 - 64GB 128GB 256GB - All Colors - Very Good Condition,Very Good - Refurbished,$269.00 to $324.00,+$35.69 shipping,from United States,"buybackboss (17,819) 98.8%",22+ sold
Apple iPhone 16 Pro PHYSICAL SIM CARD TRAY - EXPRESS SHIP 128GB 256GB 512GB 1TB,Brand New,"$1,513.98 to $2,141.72",+$73.85 shipping,from Canada,supremesales00 (33) 97.1%,Quantity sold not found
New ListingNEW BLUE APPLE IPHONE 12 128GB - UNLOCKED - SIM FREE.,Brand New,$523.03,+$65.88 shipping estimate,from United Kingdom,nil_823 (216) 100%,Quantity sold not found
Apple iPhone XR - 64GB - Fully Unlocked - (CDMA+GSM) - GOOD condition,Good - Refurbished,$154.99,+$30.71 shipping,from United States,"gadget-solutions (4,245) 97.8%",192+ sold
Apple iPhone 12 - 128GB - Factory Unlocked (GSM) - Multiple Colors - OPEN-BOX,Open Box,$360.99,+$37.23 shipping,from United States,esemobilellc (97) 97.2%,15+ sold
